100 5
7673 18 6
8183 92 38
17452 68 23
38754 2 5
63370 9 8
0 0 0 0
1 0 0 0
2 38754 1 94
3 0 0 0
4 8183 29 34
5 0 0 0
6 8183 3 67
7 0 0 0
8 38754 5 1
9 63370 1 10
10 63370 2 11
11 63370 3 12
12 63370 4 13
13 63370 5 14
14 63370 6 15
15 63370 7 16
16 63370 8 1
17 8183 18 39
18 7673 1 19
19 7673 2 20
20 7673 3 21
21 7673 4 22
22 7673 5 23
23 7673 6 1
24 8183 24 52
25 0 0 0
26 8183 5 35
27 0 0 0
28 8183 15 45
29 0 0 0
30 0 0 0
31 8183 38 1
32 8183 2 6
33 8183 26 43
34 8183 30 53
35 8183 6 38
36 8183 9 48
37 8183 28 4
38 8183 7 60
39 8183 19 56
40 38754 3 46
41 0 0 0
42 8183 13 50
43 8183 27 37
44 8183 12 42
45 8183 16 47
46 38754 4 8
47 8183 17 17
48 8183 10 64
49 0 0 0
50 8183 14 28
51 0 0 0
52 8183 25 33
53 8183 31 93
54 0 0 0
55 0 0 0
56 8183 20 58
57 8183 35 91
58 8183 21 98
59 0 0 0
60 8183 8 36
61 0 0 0
62 0 0 0
63 0 0 0
64 8183 11 44
65 0 0 0
66 8183 34 57
67 8183 4 26
68 17452 1 69
69 17452 2 70
70 17452 3 71
71 17452 4 72
72 17452 5 73
73 17452 6 74
74 17452 7 75
75 17452 8 76
76 17452 9 77
77 17452 10 78
78 17452 11 79
79 17452 12 80
80 17452 13 81
81 17452 14 82
82 17452 15 83
83 17452 16 84
84 17452 17 85
85 17452 18 86
86 17452 19 87
87 17452 20 88
88 17452 21 89
89 17452 22 90
90 17452 23 1
91 8183 36 99
92 8183 1 32
93 8183 32 96
94 38754 2 40
95 8183 23 24
96 8183 33 66
97 0 0 0
98 8183 22 95
99 8183 37 31
